iter	Passed	Remaining
567	27003	20537
568	27047	20487
569	27103	20446
570	27156	20403
571	27205	20356
572	27254	20310
573	27297	20259
574	27341	20209
575	27385	20158
576	27430	20109
577	27475	20059
578	27520	20010
579	27569	19963
580	27617	19916
581	27666	19870
582	27711	19820
583	27754	19770
584	27801	19722
585	27847	19673
586	27894	19625
587	27945	19580
588	27993	19533
589	28040	19485
590	28089	19439
591	28142	19395
592	28189	19347
593	28235	19298
594	28281	19250
595	28329	19202
596	28381	19158
597	28433	19114
598	28485	19069
599	28532	19021
600	28581	18974
601	28634	18930
602	28681	18883
603	28729	18835
604	28778	18789
605	28827	18742
606	28874	18694
607	28922	18647
608	28971	18601
609	29017	18552
610	29065	18504
611	29111	18456
612	29156	18406
613	29203	18359
614	29248	18310
615	29297	18263
616	29346	18216
617	29391	18167
618	29437	18119
619	29483	18070
620	29528	18021
621	29576	17973
622	29623	17926
623	29669	17877
624	29716	17830
625	29762	17781
626	29813	17735
627	29871	17694
628	29917	17645
629	29963	17597
630	30014	17551
631	30059	17503
632	30104	17454
633	30153	17407
634	30204	17361
635	30254	17315
636	30300	17267
637	30349	17220
638	30399	17174
639	30448	17127
640	30495	17079
641	30541	17030
642	30589	16983
643	30637	16936
644	30686	16889
645	30736	16843
646	30783	16795
647	30828	16746
648	30875	16698
649	30921	16650
650	30970	16603
651	31015	16554
652	31063	16507
653	31107	16457
654	31154	16409
655	31201	16361
656	31247	16313
657	31291	16263
658	31334	16213
659	31379	16164
660	31425	16116
661	31471	16068
662	31513	16018
663	31558	15969
664	31606	15921
665	31651	15873
666	31695	15824
667	31738	15774
668	31784	15725
669	31831	15678
670	31878	15630
671	31925	15582
672	31972	15535
673	32018	15486
674	32065	15439
675	32112	15391
676	32157	15342
677	32203	15294
678	32249	15245
679	32293	15196
680	32337	15147
681	32381	15098
682	32425	15049
683	32468	15000
684	32515	14952
685	32558	14902
686	32603	14854
687	32646	14804
688	32694	14757
689	32746	14712
690	32795	14665
